Local time,Open,High,Low,Close,Volume
18.11.2019 14:31:21.150 GMT-0000,38.778,38.778,38.778,38.778,0.0008
18.11.2019 14:31:21.300 GMT-0000,38.778,38.778,38.778,38.778,0.0008
18.11.2019 14:31:21.850 GMT-0000,38.778,38.778,38.778,38.778,0.0008
18.11.2019 14:31:22.200 GMT-0000,38.777,38.777,38.777,38.777,0.002
18.11.2019 14:31:22.250 GMT-0000,38.778,38.778,38.778,38.778,0.0008
18.11.2019 14:31:22.350 GMT-0000,38.778,38.778,38.778,38.778,0.002
18.11.2019 14:31:22.500 GMT-0000,38.787,38.787,38.787,38.787,0.002
18.11.2019 14:31:23.200 GMT-0000,38.788,38.788,38.788,38.788,0.0008
18.11.2019 14:31:23.250 GMT-0000,38.797,38.797,38.797,38.797,0.002
18.11.2019 14:31:23.300 GMT-0000,38.798,38.798,38.798,38.798,0.0008
18.11.2019 14:31:23.350 GMT-0000,38.798,38.798,38.798,38.798,0.002
18.11.2019 14:31:23.850 GMT-0000,38.797,38.797,38.797,38.797,0.002
18.11.2019 14:31:24.000 GMT-0000,38.798,38.798,38.798,38.798,0.0008
18.11.2019 14:31:24.500 GMT-0000,38.807,38.807,38.807,38.807,0.0008
18.11.2019 14:31:24.600 GMT-0000,38.798,38.798,38.798,38.798,0.002
18.11.2019 14:31:24.750 GMT-0000,38.818,38.818,38.818,38.818,0.0008
18.11.2019 14:31:24.800 GMT-0000,38.828,38.828,38.828,38.828,0.0008
18.11.2019 14:31:25.050 GMT-0000,38.818,38.818,38.818,38.818,0.0008
18.11.2019 14:31:25.600 GMT-0000,38.818,38.818,38.818,38.818,0.002
18.11.2019 14:31:25.950 GMT-0000,38.818,38.818,38.818,38.818,0.0008
18.11.2019 14:31:26.000 GMT-0000,38.808,38.808,38.808,38.808,0.0008
18.11.2019 14:31:26.050 GMT-0000,38.828,38.828,38.828,38.828,0.002
18.11.2019 14:31:26.400 GMT-0000,38.837,38.837,38.837,38.837,0.002
18.11.2019 14:31:26.750 GMT-0000,38.838,38.838,38.838,38.838,0.002
18.11.2019 14:31:27.000 GMT-0000,38.837,38.837,38.837,38.837,0.002
18.11.2019 14:31:27.750 GMT-0000,38.838,38.838,38.838,38.838,0.0008
18.11.2019 14:31:28.150 GMT-0000,38.838,38.838,38.838,38.838,0.002
18.11.2019 14:31:28.350 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:28.400 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:28.700 GMT-0000,38.858,38.858,38.858,38.858,0.0008
18.11.2019 14:31:28.750 GMT-0000,38.848,38.848,38.848,38.848,0.002
18.11.2019 14:31:29.000 GMT-0000,38.847,38.847,38.847,38.847,0.002
18.11.2019 14:31:29.100 GMT-0000,38.858,38.858,38.858,38.858,0.0008
