Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:31:00.963 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:01.507 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:02.361 GMT-0000,38.733000000000004,38.718,0,0.0008
18.11.2019 14:31:02.522 GMT-0000,38.733000000000004,38.717,0.002,0.002
18.11.2019 14:31:04.147 GMT-0000,38.733000000000004,38.718,0,0.0008
18.11.2019 14:31:04.207 GMT-0000,38.742,38.718,0.002,0.002
18.11.2019 14:31:05.041 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:05.183 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:05.611 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:05.761 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:06.019 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:06.324 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:06.431 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:06.641 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:06.742 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:06.856 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:07.235 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:07.774 GMT-0000,38.732,38.718,0,0.0008
18.11.2019 14:31:07.825 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:31:07.975 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:31:08.236 GMT-0000,38.732,38.708000000000006,0.002,0.002
18.11.2019 14:31:09.607 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:09.996 GMT-0000,38.732,38.718,0,0.002
18.11.2019 14:31:10.096 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:31:10.225 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:31:10.872 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:10.955 GMT-0000,38.742,38.728,0,0.0008
18.11.2019 14:31:11.059 GMT-0000,38.743,38.727,0.002,0.002
18.11.2019 14:31:11.109 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:11.210 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:11.342 GMT-0000,38.742,38.718,0.002,0.002
18.11.2019 14:31:11.914 GMT-0000,38.743,38.727,0.002,0.002
18.11.2019 14:31:12.353 GMT-0000,38.743,38.737,0,0.0008
18.11.2019 14:31:12.413 GMT-0000,38.762,38.748000000000005,0.002,0.002
18.11.2019 14:31:12.961 GMT-0000,38.773,38.757,0,0.001
18.11.2019 14:31:13.011 GMT-0000,38.802,38.788000000000004,0.002,0.002
18.11.2019 14:31:13.627 GMT-0000,38.821999999999996,38.808,0.002,0.002
18.11.2019 14:31:13.708 GMT-0000,38.842,38.828,0.002,0.002
18.11.2019 14:31:13.758 GMT-0000,38.843,38.817,0.002,0.002
18.11.2019 14:31:13.864 GMT-0000,38.842,38.818000000000005,0,0.0008
18.11.2019 14:31:13.914 GMT-0000,38.852,38.828,0,0.0008
18.11.2019 14:31:14.018 GMT-0000,38.843,38.828,0,0.0008
18.11.2019 14:31:14.119 GMT-0000,38.853,38.827,0.002,0.002
18.11.2019 14:31:14.560 GMT-0000,38.852,38.838,0.002,0.0008
18.11.2019 14:31:15.021 GMT-0000,38.852,38.828,0,0.0008
18.11.2019 14:31:15.088 GMT-0000,38.852,38.838,0,0.0008
18.11.2019 14:31:16.060 GMT-0000,38.858000000000004,38.848000000000006,0,0.0008
18.11.2019 14:31:16.110 GMT-0000,38.891999999999996,38.848000000000006,0,0.0008
18.11.2019 14:31:16.189 GMT-0000,38.891999999999996,38.858000000000004,0.002,0.0008
18.11.2019 14:31:16.324 GMT-0000,38.863,38.847,0,0.002
18.11.2019 14:31:16.374 GMT-0000,38.862,38.838,0.002,0.002
18.11.2019 14:31:16.456 GMT-0000,38.862,38.847,0,0.0008
18.11.2019 14:31:16.694 GMT-0000,38.872,38.848000000000006,0,0.0008
18.11.2019 14:31:16.752 GMT-0000,38.882,38.858000000000004,0,0.0008
18.11.2019 14:31:17.189 GMT-0000,38.873000000000005,38.857,0,0.002
18.11.2019 14:31:17.812 GMT-0000,38.873000000000005,38.847,0.002,0.002
18.11.2019 14:31:18.979 GMT-0000,38.872,38.848000000000006,0,0.0008
18.11.2019 14:31:19.180 GMT-0000,38.863,38.848000000000006,0,0.0008
18.11.2019 14:31:19.497 GMT-0000,38.863,38.847,0,0.002
18.11.2019 14:31:19.548 GMT-0000,38.873000000000005,38.847,0.002,0.002
18.11.2019 14:31:19.698 GMT-0000,38.872,38.848000000000006,0,0.0008
18.11.2019 14:31:19.877 GMT-0000,38.882,38.858000000000004,0,0.0008
18.11.2019 14:31:19.927 GMT-0000,38.843,38.827,0.002,0.002
18.11.2019 14:31:20.203 GMT-0000,38.842,38.828,0,0.0008
18.11.2019 14:31:20.304 GMT-0000,38.832,38.808,0,0.0008
18.11.2019 14:31:20.403 GMT-0000,38.821999999999996,38.808,0,0.002
18.11.2019 14:31:20.504 GMT-0000,38.832,38.808,0.002,0.002
18.11.2019 14:31:20.592 GMT-0000,38.821999999999996,38.808,0.002,0.002
18.11.2019 14:31:21.135 GMT-0000,38.812,38.798,0.002,0.002
