Local time,Open,High,Low,Close,Volume
03.01.2018 14:34:41.000 GMT-0000,11.558,11.558,11.558,11.558,0.0008
03.01.2018 14:34:42.000 GMT-0000,11.557,11.557,11.557,11.557,0.0137
03.01.2018 14:34:43.000 GMT-0000,11.558,11.559,11.558,11.559,0.023799999999999995
03.01.2018 14:34:45.000 GMT-0000,11.559,11.559,11.558,11.558,0.015
03.01.2018 14:34:48.000 GMT-0000,11.549,11.549,11.549,11.549,0.0075
03.01.2018 14:34:49.000 GMT-0000,11.550,11.550,11.548,11.548,0.0271
03.01.2018 14:34:50.000 GMT-0000,11.549,11.549,11.549,11.549,0.0075
03.01.2018 14:34:51.000 GMT-0000,11.549,11.549,11.549,11.549,0.0075
03.01.2018 14:34:52.000 GMT-0000,11.538,11.538,11.538,11.538,0.0041
03.01.2018 14:34:53.000 GMT-0000,11.537,11.537,11.537,11.537,0.0116
03.01.2018 14:34:54.000 GMT-0000,11.538,11.538,11.528,11.528,0.0157
03.01.2018 14:34:55.000 GMT-0000,11.538,11.538,11.530,11.538,0.0133
03.01.2018 14:34:56.000 GMT-0000,11.537,11.537,11.537,11.537,0.0107
03.01.2018 14:34:57.000 GMT-0000,11.530,11.530,11.530,11.530,0.0075
03.01.2018 14:34:58.000 GMT-0000,11.529,11.529,11.529,11.529,0.0075
03.01.2018 14:34:59.000 GMT-0000,11.528,11.528,11.518,11.518,0.031
03.01.2018 14:35:00.000 GMT-0000,11.521,11.528,11.521,11.528,0.013399999999999999
03.01.2018 14:35:01.000 GMT-0000,11.527,11.538,11.527,11.538,0.0235
03.01.2018 14:35:02.000 GMT-0000,11.538,11.538,11.538,11.538,0.0075
03.01.2018 14:35:03.000 GMT-0000,11.537,11.537,11.537,11.537,0.011
03.01.2018 14:35:04.000 GMT-0000,11.537,11.537,11.537,11.537,0.0108
03.01.2018 14:35:05.000 GMT-0000,11.538,11.538,11.538,11.538,0.0008
03.01.2018 14:35:06.000 GMT-0000,11.538,11.538,11.520,11.520,0.03
03.01.2018 14:35:07.000 GMT-0000,11.520,11.527,11.520,11.527,0.0194
03.01.2018 14:35:08.000 GMT-0000,11.527,11.527,11.519,11.519,0.007799999999999999
03.01.2018 14:35:09.000 GMT-0000,11.519,11.528,11.519,11.528,0.0086
03.01.2018 14:35:10.000 GMT-0000,11.527,11.538,11.527,11.538,0.034199999999999994
03.01.2018 14:35:11.000 GMT-0000,11.538,11.538,11.538,11.538,0.0116
03.01.2018 14:35:12.000 GMT-0000,11.538,11.538,11.538,11.538,0.0075
03.01.2018 14:35:14.000 GMT-0000,11.538,11.538,11.537,11.537,0.018000000000000002
03.01.2018 14:35:15.000 GMT-0000,11.538,11.538,11.538,11.538,0.0004
03.01.2018 14:35:16.000 GMT-0000,11.537,11.537,11.537,11.537,0.0105
03.01.2018 14:35:17.000 GMT-0000,11.538,11.538,11.538,11.538,0.0003
03.01.2018 14:35:18.000 GMT-0000,11.537,11.538,11.537,11.538,0.014
03.01.2018 14:35:19.000 GMT-0000,11.538,11.538,11.538,11.538,0.0075
03.01.2018 14:35:20.000 GMT-0000,11.548,11.548,11.542,11.548,0.0169
03.01.2018 14:35:21.000 GMT-0000,11.547,11.548,11.547,11.548,0.019599999999999996
03.01.2018 14:35:22.000 GMT-0000,11.548,11.548,11.548,11.548,0.0122
03.01.2018 14:35:23.000 GMT-0000,11.568,11.568,11.568,11.568,0.0016
03.01.2018 14:35:24.000 GMT-0000,11.567,11.567,11.538,11.538,0.0271
03.01.2018 14:35:25.000 GMT-0000,11.547,11.553,11.547,11.547,0.0206
03.01.2018 14:35:26.000 GMT-0000,11.547,11.548,11.547,11.548,0.015
03.01.2018 14:35:27.000 GMT-0000,11.548,11.548,11.541,11.541,0.0458
03.01.2018 14:35:28.000 GMT-0000,11.547,11.547,11.547,11.547,0.0075
03.01.2018 14:35:29.000 GMT-0000,11.548,11.551,11.548,11.551,0.009099999999999999
03.01.2018 14:35:30.000 GMT-0000,11.538,11.548,11.538,11.548,0.0192
03.01.2018 14:35:31.000 GMT-0000,11.548,11.548,11.548,11.548,0.015
03.01.2018 14:35:32.000 GMT-0000,11.548,11.548,11.527,11.527,0.029299999999999996
03.01.2018 14:35:33.000 GMT-0000,11.519,11.528,11.519,11.528,0.0137
03.01.2018 14:35:34.000 GMT-0000,11.527,11.527,11.518,11.518,0.015
03.01.2018 14:35:35.000 GMT-0000,11.527,11.527,11.518,11.518,0.015199999999999997
03.01.2018 14:35:36.000 GMT-0000,11.528,11.528,11.527,11.527,0.012699999999999998
03.01.2018 14:35:37.000 GMT-0000,11.528,11.528,11.528,11.528,0.0008
03.01.2018 14:35:39.000 GMT-0000,11.528,11.528,11.528,11.528,0.0075
03.01.2018 14:35:41.000 GMT-0000,11.528,11.537,11.528,11.537,0.0238
03.01.2018 14:35:42.000 GMT-0000,11.538,11.539,11.538,11.539,0.0116
03.01.2018 14:35:43.000 GMT-0000,11.539,11.548,11.539,11.548,0.009099999999999999
03.01.2018 14:35:44.000 GMT-0000,11.547,11.568,11.547,11.568,0.0192
03.01.2018 14:35:45.000 GMT-0000,11.562,11.568,11.562,11.568,0.007999999999999998
03.01.2018 14:35:46.000 GMT-0000,11.578,11.578,11.568,11.568,0.0197
03.01.2018 14:35:47.000 GMT-0000,11.568,11.578,11.568,11.568,0.015299999999999998
03.01.2018 14:35:48.000 GMT-0000,11.568,11.568,11.568,11.568,0.0113
03.01.2018 14:35:49.000 GMT-0000,11.578,11.587,11.578,11.587,0.0267
